"";"Rok";"Os";"month";"powiat";"Data"
"1";"2011";1,53;"I kw.";" bieruńsko-lędziński";"2011 I kw."
"2";"2012";1,481;"I kw.";" bieruńsko-lędziński";"2012 I kw."
"3";"2013";1,824;"I kw.";" bieruńsko-lędziński";"2013 I kw."
"4";"2014";1,564;"I kw.";" bieruńsko-lędziński";"2014 I kw."
"5";"2015";1,224;"I kw.";" bieruńsko-lędziński";"2015 I kw."
"6";"2016";0,964;"I kw.";" bieruńsko-lędziński";"2016 I kw."
"7";"2017";0,834;"I kw.";" bieruńsko-lędziński";"2017 I kw."
"8";"2018";0,657;"I kw.";" bieruńsko-lędziński";"2018 I kw."
"9";"2019";0,572;"I kw.";" bieruńsko-lędziński";"2019 I kw."
"10";"2020";0,514;"I kw.";" bieruńsko-lędziński";"2020 I kw."
"11";"2021";0,736;"I kw.";" bieruńsko-lędziński";"2021 I kw."
"12";"2011";2,925;"I kw.";" słubicki";"2011 I kw."
"13";"2012";2,484;"I kw.";" słubicki";"2012 I kw."
"14";"2013";2,425;"I kw.";" słubicki";"2013 I kw."
"15";"2014";2,175;"I kw.";" słubicki";"2014 I kw."
"16";"2015";1,312;"I kw.";" słubicki";"2015 I kw."
"17";"2016";1,005;"I kw.";" słubicki";"2016 I kw."
"18";"2017";0,647;"I kw.";" słubicki";"2017 I kw."
"19";"2018";0,509;"I kw.";" słubicki";"2018 I kw."
"20";"2019";0,482;"I kw.";" słubicki";"2019 I kw."
"21";"2020";0,473;"I kw.";" słubicki";"2020 I kw."
"22";"2021";0,656;"I kw.";" słubicki";"2021 I kw."
"23";"2011";1,843;"I kw.";" sulęciński";"2011 I kw."
"24";"2012";1,973;"I kw.";" sulęciński";"2012 I kw."
"25";"2013";2,094;"I kw.";" sulęciński";"2013 I kw."
"26";"2014";1,845;"I kw.";" sulęciński";"2014 I kw."
"27";"2015";1,619;"I kw.";" sulęciński";"2015 I kw."
"28";"2016";1,315;"I kw.";" sulęciński";"2016 I kw."
"29";"2017";1,087;"I kw.";" sulęciński";"2017 I kw."
"30";"2018";0,827;"I kw.";" sulęciński";"2018 I kw."
"31";"2019";0,755;"I kw.";" sulęciński";"2019 I kw."
"32";"2020";0,741;"I kw.";" sulęciński";"2020 I kw."
"33";"2021";0,716;"I kw.";" sulęciński";"2021 I kw."
"34";"2011";1,803;"I kw.";" kępiński";"2011 I kw."
"35";"2012";1,9;"I kw.";" kępiński";"2012 I kw."
"36";"2013";1,767;"I kw.";" kępiński";"2013 I kw."
"37";"2014";1,338;"I kw.";" kępiński";"2014 I kw."
"38";"2015";1,049;"I kw.";" kępiński";"2015 I kw."
"39";"2016";0,81;"I kw.";" kępiński";"2016 I kw."
"40";"2017";0,687;"I kw.";" kępiński";"2017 I kw."
"41";"2018";0,609;"I kw.";" kępiński";"2018 I kw."
"42";"2019";0,65;"I kw.";" kępiński";"2019 I kw."
"43";"2020";0,55;"I kw.";" kępiński";"2020 I kw."
"44";"2021";0,653;"I kw.";" kępiński";"2021 I kw."
"45";"2011";1,96;"I kw.";" leszczyński";"2011 I kw."
"46";"2012";1,921;"I kw.";" leszczyński";"2012 I kw."
"47";"2013";2,151;"I kw.";" leszczyński";"2013 I kw."
"48";"2014";1,828;"I kw.";" leszczyński";"2014 I kw."
"49";"2015";1,331;"I kw.";" leszczyński";"2015 I kw."
"50";"2016";1,127;"I kw.";" leszczyński";"2016 I kw."
"51";"2017";0,937;"I kw.";" leszczyński";"2017 I kw."
"52";"2018";0,774;"I kw.";" leszczyński";"2018 I kw."
"53";"2019";0,723;"I kw.";" leszczyński";"2019 I kw."
"54";"2020";0,735;"I kw.";" leszczyński";"2020 I kw."
"55";"2021";0,725;"I kw.";" leszczyński";"2021 I kw."
"56";"2011";2,109;"I kw.";" śremski";"2011 I kw."
"57";"2012";2,209;"I kw.";" śremski";"2012 I kw."
"58";"2013";2,716;"I kw.";" śremski";"2013 I kw."
"59";"2014";2,283;"I kw.";" śremski";"2014 I kw."
"60";"2015";1,542;"I kw.";" śremski";"2015 I kw."
"61";"2016";1,327;"I kw.";" śremski";"2016 I kw."
"62";"2017";0,913;"I kw.";" śremski";"2017 I kw."
"63";"2018";0,559;"I kw.";" śremski";"2018 I kw."
"64";"2019";0,458;"I kw.";" śremski";"2019 I kw."
"65";"2020";0,543;"I kw.";" śremski";"2020 I kw."
"66";"2021";0,715;"I kw.";" śremski";"2021 I kw."
"67";"2011";1,693;"I kw.";" m.Świnoujście";"2011 I kw."
"68";"2012";1,557;"I kw.";" m.Świnoujście";"2012 I kw."
"69";"2013";1,573;"I kw.";" m.Świnoujście";"2013 I kw."
"70";"2014";1,249;"I kw.";" m.Świnoujście";"2014 I kw."
"71";"2015";1,153;"I kw.";" m.Świnoujście";"2015 I kw."
"72";"2016";1,012;"I kw.";" m.Świnoujście";"2016 I kw."
"73";"2017";0,863;"I kw.";" m.Świnoujście";"2017 I kw."
"74";"2018";0,738;"I kw.";" m.Świnoujście";"2018 I kw."
"75";"2019";0,652;"I kw.";" m.Świnoujście";"2019 I kw."
"76";"2020";0,586;"I kw.";" m.Świnoujście";"2020 I kw."
"77";"2021";0,93;"I kw.";" m.Świnoujście";"2021 I kw."
"78";"2011";0,766;"I kw.";" m.Sopot";"2011 I kw."
"79";"2012";0,833;"I kw.";" m.Sopot";"2012 I kw."
"80";"2013";0,974;"I kw.";" m.Sopot";"2013 I kw."
"81";"2014";0,944;"I kw.";" m.Sopot";"2014 I kw."
"82";"2015";0,815;"I kw.";" m.Sopot";"2015 I kw."
"83";"2016";0,648;"I kw.";" m.Sopot";"2016 I kw."
"84";"2017";0,506;"I kw.";" m.Sopot";"2017 I kw."
"85";"2018";0,403;"I kw.";" m.Sopot";"2018 I kw."
"86";"2019";0,349;"I kw.";" m.Sopot";"2019 I kw."
"87";"2020";0,351;"I kw.";" m.Sopot";"2020 I kw."
"88";"2021";0,514;"I kw.";" m.Sopot";"2021 I kw."
"89";"2011";1,317;"I kw.";" skierniewicki";"2011 I kw."
"90";"2012";1,428;"I kw.";" skierniewicki";"2012 I kw."
"91";"2013";1,588;"I kw.";" skierniewicki";"2013 I kw."
"92";"2014";1,416;"I kw.";" skierniewicki";"2014 I kw."
"93";"2015";1,177;"I kw.";" skierniewicki";"2015 I kw."
"94";"2016";1,028;"I kw.";" skierniewicki";"2016 I kw."
"95";"2017";0,788;"I kw.";" skierniewicki";"2017 I kw."
"96";"2018";0,694;"I kw.";" skierniewicki";"2018 I kw."
"97";"2019";0,62;"I kw.";" skierniewicki";"2019 I kw."
"98";"2020";0,632;"I kw.";" skierniewicki";"2020 I kw."
"99";"2021";0,691;"I kw.";" skierniewicki";"2021 I kw."
"100";"2011";1,493;"I kw.";" suwalski";"2011 I kw."
"101";"2012";1,493;"I kw.";" suwalski";"2012 I kw."
"102";"2013";1,658;"I kw.";" suwalski";"2013 I kw."
"103";"2014";1,551;"I kw.";" suwalski";"2014 I kw."
"104";"2015";1,124;"I kw.";" suwalski";"2015 I kw."
"105";"2016";0,987;"I kw.";" suwalski";"2016 I kw."
"106";"2017";0,806;"I kw.";" suwalski";"2017 I kw."
"107";"2018";0,645;"I kw.";" suwalski";"2018 I kw."
"108";"2019";0,575;"I kw.";" suwalski";"2019 I kw."
"109";"2020";0,606;"I kw.";" suwalski";"2020 I kw."
"110";"2021";0,642;"I kw.";" suwalski";"2021 I kw."
"111";"2011";1,339;"II kw.";" bieruńsko-lędziński";"2011 II kw."
"112";"2012";1,28;"II kw.";" bieruńsko-lędziński";"2012 II kw."
"113";"2013";1,588;"II kw.";" bieruńsko-lędziński";"2013 II kw."
"114";"2014";1,255;"II kw.";" bieruńsko-lędziński";"2014 II kw."
"115";"2015";1,075;"II kw.";" bieruńsko-lędziński";"2015 II kw."
"116";"2016";0,951;"II kw.";" bieruńsko-lędziński";"2016 II kw."
"117";"2017";0,744;"II kw.";" bieruńsko-lędziński";"2017 II kw."
"118";"2018";0,648;"II kw.";" bieruńsko-lędziński";"2018 II kw."
"119";"2019";0,515;"II kw.";" bieruńsko-lędziński";"2019 II kw."
"120";"2020";0,678;"II kw.";" bieruńsko-lędziński";"2020 II kw."
"121";"2021";0,702;"II kw.";" bieruńsko-lędziński";"2021 II kw."
"122";"2011";2,478;"II kw.";" słubicki";"2011 II kw."
"123";"2012";2,134;"II kw.";" słubicki";"2012 II kw."
"124";"2013";2,155;"II kw.";" słubicki";"2013 II kw."
"125";"2014";1,69;"II kw.";" słubicki";"2014 II kw."
"126";"2015";1,116;"II kw.";" słubicki";"2015 II kw."
"127";"2016";0,769;"II kw.";" słubicki";"2016 II kw."
"128";"2017";0,517;"II kw.";" słubicki";"2017 II kw."
"129";"2018";0,381;"II kw.";" słubicki";"2018 II kw."
"130";"2019";0,403;"II kw.";" słubicki";"2019 II kw."
"131";"2020";0,636;"II kw.";" słubicki";"2020 II kw."
"132";"2021";0,646;"II kw.";" słubicki";"2021 II kw."
"133";"2011";1,598;"II kw.";" sulęciński";"2011 II kw."
"134";"2012";1,76;"II kw.";" sulęciński";"2012 II kw."
"135";"2013";1,778;"II kw.";" sulęciński";"2013 II kw."
"136";"2014";1,643;"II kw.";" sulęciński";"2014 II kw."
"137";"2015";1,405;"II kw.";" sulęciński";"2015 II kw."
"138";"2016";1,158;"II kw.";" sulęciński";"2016 II kw."
"139";"2017";0,897;"II kw.";" sulęciński";"2017 II kw."
"140";"2018";0,751;"II kw.";" sulęciński";"2018 II kw."
"141";"2019";0,646;"II kw.";" sulęciński";"2019 II kw."
"142";"2020";0,857;"II kw.";" sulęciński";"2020 II kw."
"143";"2021";0,642;"II kw.";" sulęciński";"2021 II kw."
"144";"2011";1,602;"II kw.";" kępiński";"2011 II kw."
"145";"2012";1,593;"II kw.";" kępiński";"2012 II kw."
"146";"2013";1,541;"II kw.";" kępiński";"2013 II kw."
"147";"2014";1,116;"II kw.";" kępiński";"2014 II kw."
"148";"2015";0,87;"II kw.";" kępiński";"2015 II kw."
"149";"2016";0,698;"II kw.";" kępiński";"2016 II kw."
"150";"2017";0,678;"II kw.";" kępiński";"2017 II kw."
"151";"2018";0,574;"II kw.";" kępiński";"2018 II kw."
"152";"2019";0,576;"II kw.";" kępiński";"2019 II kw."
"153";"2020";0,685;"II kw.";" kępiński";"2020 II kw."
"154";"2021";0,596;"II kw.";" kępiński";"2021 II kw."
"155";"2011";1,669;"II kw.";" leszczyński";"2011 II kw."
"156";"2012";1,69;"II kw.";" leszczyński";"2012 II kw."
"157";"2013";1,813;"II kw.";" leszczyński";"2013 II kw."
"158";"2014";1,541;"II kw.";" leszczyński";"2014 II kw."
"159";"2015";1,137;"II kw.";" leszczyński";"2015 II kw."
"160";"2016";0,896;"II kw.";" leszczyński";"2016 II kw."
"161";"2017";0,814;"II kw.";" leszczyński";"2017 II kw."
"162";"2018";0,668;"II kw.";" leszczyński";"2018 II kw."
"163";"2019";0,622;"II kw.";" leszczyński";"2019 II kw."
"164";"2020";0,878;"II kw.";" leszczyński";"2020 II kw."
"165";"2021";0,619;"II kw.";" leszczyński";"2021 II kw."
"166";"2011";1,802;"II kw.";" śremski";"2011 II kw."
"167";"2012";2,039;"II kw.";" śremski";"2012 II kw."
"168";"2013";2,46;"II kw.";" śremski";"2013 II kw."
"169";"2014";1,85;"II kw.";" śremski";"2014 II kw."
"170";"2015";1,35;"II kw.";" śremski";"2015 II kw."
"171";"2016";0,995;"II kw.";" śremski";"2016 II kw."
"172";"2017";0,679;"II kw.";" śremski";"2017 II kw."
"173";"2018";0,474;"II kw.";" śremski";"2018 II kw."
"174";"2019";0,359;"II kw.";" śremski";"2019 II kw."
"175";"2020";0,692;"II kw.";" śremski";"2020 II kw."
"176";"2021";0,657;"II kw.";" śremski";"2021 II kw."
"177";"2011";1,213;"II kw.";" m.Świnoujście";"2011 II kw."
"178";"2012";1,193;"II kw.";" m.Świnoujście";"2012 II kw."
"179";"2013";1,201;"II kw.";" m.Świnoujście";"2013 II kw."
"180";"2014";0,817;"II kw.";" m.Świnoujście";"2014 II kw."
"181";"2015";0,871;"II kw.";" m.Świnoujście";"2015 II kw."
"182";"2016";0,764;"II kw.";" m.Świnoujście";"2016 II kw."
"183";"2017";0,692;"II kw.";" m.Świnoujście";"2017 II kw."
"184";"2018";0,613;"II kw.";" m.Świnoujście";"2018 II kw."
"185";"2019";0,492;"II kw.";" m.Świnoujście";"2019 II kw."
"186";"2020";0,789;"II kw.";" m.Świnoujście";"2020 II kw."
"187";"2021";0,713;"II kw.";" m.Świnoujście";"2021 II kw."
"188";"2011";0,667;"II kw.";" m.Sopot";"2011 II kw."
"189";"2012";0,801;"II kw.";" m.Sopot";"2012 II kw."
"190";"2013";0,891;"II kw.";" m.Sopot";"2013 II kw."
"191";"2014";0,834;"II kw.";" m.Sopot";"2014 II kw."
"192";"2015";0,722;"II kw.";" m.Sopot";"2015 II kw."
"193";"2016";0,574;"II kw.";" m.Sopot";"2016 II kw."
"194";"2017";0,442;"II kw.";" m.Sopot";"2017 II kw."
"195";"2018";0,369;"II kw.";" m.Sopot";"2018 II kw."
"196";"2019";0,288;"II kw.";" m.Sopot";"2019 II kw."
"197";"2020";0,445;"II kw.";" m.Sopot";"2020 II kw."
"198";"2021";0,461;"II kw.";" m.Sopot";"2021 II kw."
"199";"2011";1,183;"II kw.";" skierniewicki";"2011 II kw."
"200";"2012";1,249;"II kw.";" skierniewicki";"2012 II kw."
"201";"2013";1,358;"II kw.";" skierniewicki";"2013 II kw."
"202";"2014";1,127;"II kw.";" skierniewicki";"2014 II kw."
"203";"2015";0,96;"II kw.";" skierniewicki";"2015 II kw."
"204";"2016";0,831;"II kw.";" skierniewicki";"2016 II kw."
"205";"2017";0,692;"II kw.";" skierniewicki";"2017 II kw."
"206";"2018";0,564;"II kw.";" skierniewicki";"2018 II kw."
"207";"2019";0,585;"II kw.";" skierniewicki";"2019 II kw."
"208";"2020";0,698;"II kw.";" skierniewicki";"2020 II kw."
"209";"2021";0,618;"II kw.";" skierniewicki";"2021 II kw."
"210";"2011";1,199;"II kw.";" suwalski";"2011 II kw."
"211";"2012";1,311;"II kw.";" suwalski";"2012 II kw."
"212";"2013";1,464;"II kw.";" suwalski";"2013 II kw."
"213";"2014";1,148;"II kw.";" suwalski";"2014 II kw."
"214";"2015";0,88;"II kw.";" suwalski";"2015 II kw."
