;country;year;pop
1;Total, all countries or areas;2005;6541907000
2;Total, all countries or areas;2010;6956823600
3;Total, all countries or areas;2017;7547858900
4;Total, all countries or areas;2019;7713468100
5;Africa;2005;916154300
6;Africa;2010;1039304000
7;Africa;2017;1244222300
8;Africa;2019;1308064200
9;Northern Africa;2005;186421300
10;Northern Africa;2010;202940300
11;Northern Africa;2017;232793200
12;Northern Africa;2019;241780800
13;Sub-Saharan Africa;2005;729733000
14;Sub-Saharan Africa;2010;836363800
15;Sub-Saharan Africa;2017;1011429100
16;Sub-Saharan Africa;2019;1066283400
17;Eastern Africa;2005;295185400
18;Eastern Africa;2010;339317800
19;Eastern Africa;2017;411396700
20;Eastern Africa;2019;433904900
21;Middle Africa;2005;112008300
22;Middle Africa;2010;131622100
23;Middle Africa;2017;164039000
24;Middle Africa;2019;174308400
25;Southern Africa;2005;54644700
26;Southern Africa;2010;58383400
27;Southern Africa;2017;64833800
28;Southern Africa;2019;66629900
29;Western Africa;2005;267894600
30;Western Africa;2010;307040400
31;Western Africa;2017;371159500
32;Western Africa;2019;391440200
33;Americas;2005;884788200
34;Americas;2010;934639800
35;Americas;2017;998175400
36;Americas;2019;1014721900
37;Northern America;2005;327287200
38;Northern America;2010;343287400
39;Northern America;2017;361942300
40;Northern America;2019;366601000
41;Latin America & the Caribbean;2005;557501000
42;Latin America & the Caribbean;2010;591352400
43;Latin America & the Caribbean;2017;636233100
44;Latin America & the Caribbean;2019;648121000
45;Caribbean;2005;39745800
46;Caribbean;2010;41217400
47;Caribbean;2017;43002400
48;Caribbean;2019;43335000
49;Central America;2005;145950500
50;Central America;2010;157591300
51;Central America;2017;173326800
52;Central America;2019;177586500
53;South America;2005;371804700
54;South America;2010;392543700
55;South America;2017;419903900
56;South America;2019;427199400
57;Asia;2005;3977986500
58;Asia;2010;4209593700
59;Asia;2017;4519040000
60;Asia;2019;4601371200
61;Central Asia;2005;58449900
62;Central Asia;2010;62805100
63;Central Asia;2017;70867500
64;Central Asia;2019;73212100
65;Eastern Asia;2005;1564192300
66;Eastern Asia;2010;1604859400
67;Eastern Asia;2017;1659768000
68;Eastern Asia;2019;1672611100
69;South-central Asia;2005;1647073800
70;South-central Asia;2010;1775360500
71;South-central Asia;2017;1944108600
72;South-central Asia;2019;1991423500
73;South-eastern Asia;2005;561156100
74;South-eastern Asia;2010;596947200
75;South-eastern Asia;2017;648459700
76;South-eastern Asia;2019;662011800
77;Southern Asia;2005;1588623900
78;Southern Asia;2010;1712555500
79;Southern Asia;2017;1873241100
80;Southern Asia;2019;1918211400
81;Western Asia;2005;205564300
82;Western Asia;2010;232426500
83;Western Asia;2017;266703700
84;Western Asia;2019;275324800
85;Europe;2005;729287800
86;Europe;2010;736413000
87;Europe;2017;745414700
88;Europe;2019;747182800
89;Eastern Europe;2005;297500500
90;Eastern Europe;2010;294872900
91;Eastern Europe;2017;294056100
92;Eastern Europe;2019;293444900
93;Northern Europe;2005;96307400
94;Northern Europe;2010;100398300
95;Northern Europe;2017;104676500
96;Northern Europe;2019;105768500
97;Southern Europe;2005;149676100
98;Southern Europe;2010;153015500
99;Southern Europe;2017;152796400
100;Southern Europe;2019;152446900
101;Western Europe;2005;185803800
102;Western Europe;2010;188126300
103;Western Europe;2017;193885800
104;Western Europe;2019;195522400
105;Oceania;2005;33690200
106;Oceania;2010;36873100
107;Oceania;2017;41006500
108;Oceania;2019;42128000
109;Australia and New Zealand;2005;24313900
110;Australia and New Zealand;2010;26524700
111;Australia and New Zealand;2017;29286700
112;Australia and New Zealand;2019;29986300
113;Melanesia;2005;8232100
114;Melanesia;2010;9187900
115;Melanesia;2017;10514200
116;Melanesia;2019;10918500
117;Micronesia;2005;498300
118;Micronesia;2010;503600
119;Micronesia;2017;532900
120;Micronesia;2019;543500
121;Polynesia;2005;645900
122;Polynesia;2010;656800
123;Polynesia;2017;672800
124;Polynesia;2019;679800
125;Afghanistan;2005;25654300
126;Afghanistan;2010;29185500
127;Afghanistan;2017;36296100
128;Afghanistan;2019;38041800
129;Albania;2005;3086800
130;Albania;2010;2948000
131;Albania;2017;2884200
132;Albania;2019;2880900
133;Algeria;2005;33149700
134;Algeria;2010;35977500
135;Algeria;2017;41389200
136;Algeria;2019;43053100
137;American Samoa;2000;57500
138;American Samoa;2005;59100
139;American Samoa;2010;55600
140;American Samoa;2016;55600
141;American Samoa;2017;55600
