"val";"name"
3,8;"Powiat bocheñski"
4,8;"Powiat krakowski"
4,2;"Powiat miechowski"
2,9;"Powiat myœlenicki"
4,7;"Powiat proszowicki"
4,5;"Powiat wielicki"
3;"Powiat m.Kraków"
5,3;"Powiat gorlicki"
6,1;"Powiat limanowski"
7,7;"Powiat nowos¹decki"
3,1;"Powiat m.Nowy S¹cz"
6,9;"Powiat chrzanowski"
6,6;"Powiat olkuski"
5,8;"Powiat oœwiêcimski"
5,2;"Powiat wadowicki"
4,6;"Powiat brzeski"
9,3;"Powiat d¹browski"
5,9;"Powiat tarnowski"
4,3;"Powiat m.Tarnów"
6,4;"Powiat nowotarski"
4,4;"Powiat suski"
7,4;"Powiat tatrzañski"
3,9;"Powiat bielski"
5,1;"Powiat cieszyñski"
6,3;"Powiat ¿ywiecki"
2,4;"Powiat m.Bielsko-Bia³a"
5,2;"Powiat lubliniecki"
6;"Powiat tarnogórski"
8,7;"Powiat m.Bytom"
7,2;"Powiat m.Piekary Œl¹skie"
7,2;"Powiat czêstochowski"
6,8;"Powiat k³obucki"
6,4;"Powiat myszkowski"
3,8;"Powiat m.Czêstochowa"
4,8;"Powiat gliwicki"
3,1;"Powiat m.Gliwice"
5,6;"Powiat m.Zabrze"
3,4;"Powiat m.Chorzów"
1,8;"Powiat m.Katowice"
5,9;"Powiat m.Mys³owice"
3;"Powiat m.Ruda Œl¹ska"
4,7;"Powiat m.Siemianowice Œl¹skie"
5,3;"Powiat m.Œwiêtoch³owice"
5;"Powiat raciborski"
5,4;"Powiat rybnicki"
5,8;"Powiat wodzis³awski"
5,3;"Powiat m.Jastrzêbie-Zdrój"
3,3;"Powiat m.Rybnik"
4,3;"Powiat m.¯ory"
7,6;"Powiat bêdziñski"
5,3;"Powiat zawierciañski"
4,9;"Powiat m.D¹browa Górnicza"
4,5;"Powiat m.Jaworzno"
6,7;"Powiat m.Sosnowiec"
4,1;"Powiat miko³owski"
3,5;"Powiat pszczyñski"
2,1;"Powiat bieruñsko-lêdziñski"
2,5;"Powiat m.Tychy"
4,2;"Powiat gorzowski"
7,4;"Powiat miêdzyrzecki"
2,6;"Powiat s³ubicki"
8,9;"Powiat strzelecko-drezdenecki"
4,5;"Powiat sulêciñski"
2,8;"Powiat m.Gorzów Wielkopolski"
6,9;"Powiat kroœnieñski"
5,1;"Powiat nowosolski"
4;"Powiat œwiebodziñski"
8;"Powiat zielonogórski"
6,3;"Powiat ¿agañski"
5,5;"Powiat ¿arski"
7,8;"Powiat wschowski"
3,7;"Powiat m.Zielona Góra"
4,5;"Powiat jarociñski"
2,6;"Powiat kaliski"
1,7;"Powiat kêpiñski"
2,8;"Powiat krotoszyñski"
2,8;"Powiat ostrowski"
2,9;"Powiat ostrzeszowski"
4,1;"Powiat pleszewski"
3,3;"Powiat m.Kalisz"
4,2;"Powiat gnieŸnieñski"
2,6;"Powiat kolski"
8,5;"Powiat koniñski"
6,9;"Powiat s³upecki"
3,3;"Powiat turecki"
4;"Powiat wrzesiñski"
6,6;"Powiat m.Konin"
4,9;"Powiat gostyñski"
4;"Powiat grodziski"
3;"Powiat koœciañski"
2,2;"Powiat leszczyñski"
5,8;"Powiat miêdzychodzki"
2,4;"Powiat nowotomyski"
3,3;"Powiat rawicki"
2,1;"Powiat wolsztyñski"
2,9;"Powiat m.Leszno"
7,4;"Powiat chodzieski"
3,4;"Powiat czarnkowsko-trzcianecki"
4,9;"Powiat pilski"
4,8;"Powiat w¹growiecki"
4,4;"Powiat z³otowski"
3,6;"Powiat obornicki"
1,8;"Powiat poznañski"
3,6;"Powiat szamotulski"
5,6;"Powiat œredzki"
2,2;"Powiat œremski"
1,8;"Powiat m.Poznañ"
17,5;"Powiat bia³ogardzki"
4,6;"Powiat ko³obrzeski"
12,9;"Powiat koszaliñski"
12,9;"Powiat s³awieñski"
5,6;"Powiat m.Koszalin"
15,7;"Powiat choszczeñski"
11,7;"Powiat drawski"
6,1;"Powiat myœliborski"
10;"Powiat pyrzycki"
14,4;"Powiat szczecinecki"
11,6;"Powiat œwidwiñski"
7,6;"Powiat wa³ecki"
14,4;"Powiat ³obeski"
3,5;"Powiat m.Szczecin"
4,7;"Powiat goleniowski"
6,8;"Powiat gryficki"
7,3;"Powiat gryfiñski"
14,2;"Powiat kamieñski"
4,6;"Powiat policki"
7,7;"Powiat stargardzki"
3,9;"Powiat m.Œwinoujœcie"
4,8;"Powiat boles³awiecki"
9,9;"Powiat jaworski"
9,9;"Powiat karkonoski"
6;"Powiat kamiennogórski"
7,1;"Powiat lubañski"
9;"Powiat lwówecki"
5,5;"Powiat zgorzelecki"
12;"Powiat z³otoryjski"
3,7;"Powiat m.Jelenia Góra"
7,7;"Powiat g³ogowski"
14,4;"Powiat górowski"
7,9;"Powiat legnicki"
3,9;"Powiat lubiñski"
4,4;"Powiat polkowicki"
5,4;"Powiat m.Legnica"
5,4;"Powiat dzier¿oniowski"
11,6;"Powiat k³odzki"
5,8;"Powiat œwidnicki"
13,3;"Powiat wa³brzyski"
8,9;"Powiat z¹bkowicki"
4,7;"Powiat m.Wa³brzych od 2013"
5,3;"Powiat milicki"
5,8;"Powiat oleœnicki"
4;"Powiat o³awski"
10,5;"Powiat strzeliñski"
5,5;"Powiat œredzki"
4,7;"Powiat trzebnicki"
11,1;"Powiat wo³owski"
2;"Powiat wroc³awski"
2,2;"Powiat m.Wroc³aw"
8,2;"Powiat brzeski"
8,8;"Powiat g³ubczycki"
8,7;"Powiat namys³owski"
7,4;"Powiat nyski"
8,3;"Powiat prudnicki"
7,4;"Powiat kêdzierzyñsko-kozielski"
7,3;"Powiat kluczborski"
5,3;"Powiat krapkowicki"
4;"Powiat oleski"
6,4;"Powiat opolski"
4,2;"Powiat strzelecki"
3,3;"Powiat m.Opole"
4,4;"Powiat bydgoski"
9,8;"Powiat toruñski"
2,8;"Powiat m.Bydgoszcz"
3,9;"Powiat m.Toruñ"
6,2;"Powiat brodnicki"
11,4;"Powiat che³miñski"
10,5;"Powiat golubsko-dobrzyñski"
11,9;"Powiat grudzi¹dzki"
8,1;"Powiat rypiñski"
11,3;"Powiat w¹brzeski"
11,5;"Powiat m.Grudzi¹dz"
11,8;"Powiat aleksandrowski"
12,8;"Powiat lipnowski"
14,3;"Powiat radziejowski"
13;"Powiat w³oc³awski"
9;"Powiat m.W³oc³awek"
11,5;"Powiat inowroc³awski"
9,5;"Powiat mogileñski"
10,7;"Powiat nakielski"
8,8;"Powiat ¿niñski"
10,2;"Powiat sêpoleñski"
6;"Powiat œwiecki"
9,5;"Powiat tucholski"
5,1;"Powiat gdañski"
